2025-02-01 14:48:50,057 - INFO - Pod: workload-1738421329, Node: normal-control-plane, Intensity: 254.22, Region: DE, Type: Planned
2025-02-01 14:48:50,606 - INFO - Pod: workload-1738421329, Node: normal-control-plane, Intensity: 254.22, Region: DE, Type: Actual
2025-02-01 14:49:00,489 - INFO - Pod: workload-1738421340, Node: normal-control-plane, Intensity: 252.13, Region: DE, Type: Planned
2025-02-01 14:49:00,849 - INFO - Pod: workload-1738421340, Node: normal-control-plane, Intensity: 252.13, Region: DE, Type: Actual
2025-02-01 14:49:10,901 - INFO - Pod: workload-1738421350, Node: normal-worker2, Intensity: 157.99, Region: NL, Type: Planned
2025-02-01 14:49:11,392 - INFO - Pod: workload-1738421350, Node: normal-worker2, Intensity: 157.99, Region: NL, Type: Actual
2025-02-01 14:49:21,370 - INFO - Pod: workload-1738421361, Node: normal-worker, Intensity: 337.77, Region: ERCOT, Type: Planned
2025-02-01 14:49:21,883 - INFO - Pod: workload-1738421361, Node: normal-worker, Intensity: 337.77, Region: ERCOT, Type: Actual
2025-02-01 14:49:31,806 - INFO - Pod: workload-1738421371, Node: normal-control-plane, Intensity: 252.13, Region: DE, Type: Planned
2025-02-01 14:49:32,304 - INFO - Pod: workload-1738421371, Node: normal-control-plane, Intensity: 252.13, Region: DE, Type: Actual
2025-02-01 14:49:42,185 - INFO - Pod: workload-1738421382, Node: normal-control-plane, Intensity: 252.13, Region: DE, Type: Planned
2025-02-01 14:49:42,500 - INFO - Pod: workload-1738421382, Node: normal-control-plane, Intensity: 252.13, Region: DE, Type: Actual
2025-02-01 14:49:52,633 - INFO - Pod: workload-1738421392, Node: normal-worker2, Intensity: 157.99, Region: NL, Type: Planned
2025-02-01 14:49:52,944 - INFO - Pod: workload-1738421392, Node: normal-worker2, Intensity: 157.99, Region: NL, Type: Actual
2025-02-01 14:50:03,068 - INFO - Pod: workload-1738421403, Node: normal-worker, Intensity: 306.03, Region: ERCOT, Type: Planned
2025-02-01 14:50:03,656 - INFO - Pod: workload-1738421403, Node: normal-worker, Intensity: 306.03, Region: ERCOT, Type: Actual
2025-02-01 14:50:13,298 - INFO - Pod: workload-1738421413, Node: normal-worker2, Intensity: 159.45, Region: NL, Type: Planned
2025-02-01 14:50:13,684 - INFO - Pod: workload-1738421413, Node: normal-worker2, Intensity: 159.45, Region: NL, Type: Actual
2025-02-01 14:50:23,778 - INFO - Pod: workload-1738421423, Node: normal-worker, Intensity: 306.03, Region: ERCOT, Type: Planned
2025-02-01 14:50:24,322 - INFO - Pod: workload-1738421423, Node: normal-worker, Intensity: 306.03, Region: ERCOT, Type: Actual
2025-02-01 14:50:33,978 - INFO - Pod: workload-1738421433, Node: normal-control-plane, Intensity: 251.76, Region: DE, Type: Planned
2025-02-01 14:50:34,484 - INFO - Pod: workload-1738421433, Node: normal-control-plane, Intensity: 251.76, Region: DE, Type: Actual
2025-02-01 14:50:44,376 - INFO - Pod: workload-1738421444, Node: normal-worker2, Intensity: 159.45, Region: NL, Type: Planned
2025-02-01 14:50:44,852 - INFO - Pod: workload-1738421444, Node: normal-worker2, Intensity: 159.45, Region: NL, Type: Actual
2025-02-01 14:50:54,797 - INFO - Pod: workload-1738421454, Node: normal-worker2, Intensity: 159.45, Region: NL, Type: Planned
